UDALERRIA HAUTESKUNDE-EMAITZEN ZERRENDA;;;;;;;;;;;;;EAJ-PNV;EAJ-PNV;EAJ-PNV;PP;PP;PP;PH;PH;PH;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PSE-EE/PSOE;PSE-EE/PSOE;PSE-EE/PSOE;PUM+J;PUM+J;PUM+J;O.E.;O.E.;O.E.;EH BILDU;EH BILDU;EH BILDU;VOX;VOX;VOX;EB-AZ;EB-AZ;EB-AZ;PACMA;PACMA;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;PODEMOS-AHAL DUGU - ALIANZA VERDE;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;IZAN;IZAN;SUMAR;SUMAR;SUMAR
LH;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak
Araba;BARRUNDIA;	013;;;738;442;3;439;2;437;296;122;27.92;27.79;28;6.41;6.38;;;;;;;26;5.95;5.92;0;0.0;0.0;0;0.0;0.0;230;52.63;52.39;7;1.6;1.59;2;0.46;0.46;2;0.46;0.46;8;1.83;1.82;;;;12;2.75;2.73
Araba;BERANTEVILLA;	014;;;372;246;1;245;3;242;126;93;38.43;37.96;45;18.6;18.37;;;;;;;20;8.26;8.16;0;0.0;0.0;0;0.0;0.0;65;26.86;26.53;7;2.89;2.86;0;0.0;0.0;1;0.41;0.41;3;1.24;1.22;;;;8;3.31;3.27
Araba;BERNEDO;	016;;;456;234;1;233;5;228;222;69;30.26;29.61;29;12.72;12.45;;;;;;;23;10.09;9.87;1;0.44;0.43;0;0.0;0.0;88;38.6;37.77;2;0.88;0.86;1;0.44;0.43;3;1.32;1.29;4;1.75;1.72;;;;8;3.51;3.43
Araba;CAMPEZO/KANPEZU;	017;;;877;547;5;542;4;538;330;180;33.46;33.21;55;10.22;10.15;;;;;;;34;6.32;6.27;0;0.0;0.0;3;0.56;0.55;230;42.75;42.44;9;1.67;1.66;0;0.0;0.0;2;0.37;0.37;10;1.86;1.85;;;;15;2.79;2.77
Araba;ELBURGO/BURGELU;	021;;;511;295;6;289;3;286;216;110;38.46;38.06;45;15.73;15.57;;;;;;;16;5.59;5.54;2;0.7;0.69;0;0.0;0.0;75;26.22;25.95;22;7.69;7.61;2;0.7;0.69;4;1.4;1.38;4;1.4;1.38;;;;6;2.1;2.08
Araba;ELCIEGO;	022;;;724;498;13;485;3;482;226;152;31.54;31.34;105;21.78;21.65;;;;;;;113;23.44;23.3;1;0.21;0.21;0;0.0;0.0;75;15.56;15.46;10;2.07;2.06;2;0.41;0.41;0;0.0;0.0;10;2.07;2.06;;;;14;2.9;2.89
Araba;ELVILLAR/BILAR;	023;;;259;181;5;176;;176;78;88;50.0;50.0;31;17.61;17.61;;;;;;;6;3.41;3.41;0;0.0;0.0;0;0.0;0.0;45;25.57;25.57;3;1.7;1.7;0;0.0;0.0;1;0.57;0.57;1;0.57;0.57;;;;1;0.57;0.57
Araba;ERRIBERAGOITIA/RIBERA ALTA;	046;;;687;423;9;414;6;408;264;161;39.46;38.89;52;12.75;12.56;;;;;;;32;7.84;7.73;0;0.0;0.0;0;0.0;0.0;118;28.92;28.5;20;4.9;4.83;1;0.25;0.24;4;0.98;0.97;12;2.94;2.9;;;;8;1.96;1.93
Araba;HARANA/VALLE DE ARANA;	056;;;189;112;2;110;1;109;77;47;43.12;42.73;11;10.09;10.0;;;;;;;2;1.83;1.82;0;0.0;0.0;0;0.0;0.0;38;34.86;34.55;5;4.59;4.55;1;0.92;0.91;0;0.0;0.0;1;0.92;0.91;;;;4;3.67;3.64
Araba;IRUÑA OKA/IRUÑA DE OCA;	901;;;2590;1435;23;1412;11;1401;1155;350;24.98;24.79;213;15.2;15.08;;;;;;;297;21.2;21.03;2;0.14;0.14;0;0.0;0.0;371;26.48;26.27;76;5.42;5.38;9;0.64;0.64;11;0.79;0.78;26;1.86;1.84;;;;46;3.28;3.26
