Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Araba;LAUDIO/LLODIO;	036;;;14417;9325;102;9223;90;9133;5092;36.07;6.19;;;12.06;0.11;0.11;36.07;2.35;0.31;0.64;2.1;;3.0
Araba;LEGUTIO;	058;;;1494;852;7;845;9;836;642;26.39;5.8;;;8.4;0.0;0.24;50.77;1.89;0.0;0.12;2.96;;2.37
Araba;LEZA;	034;;;153;107;1;106;;106;46;35.85;4.72;;;17.92;0.0;0.0;35.85;0.0;0.0;0.0;2.83;;2.83
Araba;MOREDA DE ÁLAVA/MOREDA ARABA;	039;;;185;129;;129;1;128;56;33.33;13.95;;;17.05;0.0;0.0;31.01;1.55;0.0;0.0;1.55;;0.78
Araba;MUNICIPIO CERA ARABA;	999;;;8532;;;;;;8532;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Araba;NAVARIDAS;	041;;;148;93;;93;2;91;55;45.16;31.18;;;3.23;0.0;0.0;9.68;3.23;1.08;0.0;1.08;;3.23
Araba;OKONDO;	042;;;937;677;4;673;13;660;260;51.56;2.97;;;2.08;0.3;0.45;36.85;0.45;0.3;0.15;0.89;;2.08
Araba;OYÓN-OION;	043;;;2420;1322;21;1301;12;1289;1098;25.06;16.22;;;15.6;0.08;0.0;31.36;3.84;0.38;0.46;3.15;;2.92
Araba;PEÑACERRADA-URIZAHARRA;	044;;;261;167;2;165;2;163;94;24.85;10.3;;;13.94;0.0;0.0;38.79;3.03;0.61;0.61;4.85;;1.82
Araba;RIBERA BAJA/ERRIBERABEITIA;	047;;;1070;597;8;589;4;585;473;32.26;24.96;;;10.36;0.0;0.0;18.0;5.94;0.17;0.68;2.72;;4.24
Araba;SAMANIEGO;	052;;;212;169;1;168;;168;43;39.88;2.98;;;14.88;0.0;0.0;39.29;0.6;0.0;0.0;0.6;;1.79
Araba;SAN MILLÁN/DONEMILIAGA;	053;;;599;376;4;372;7;365;223;31.72;6.72;;;2.15;0.27;0.27;50.0;1.34;0.0;0.81;3.23;;1.61
